Crystal angle	Rate at 35kV
theta/°	R(35kV)/Imp/s

3,0	981,0
3,1	735,0
3,2	555,0
3,3	435,0
3,4	397,0
3,5	354,0
3,6	349,0
3,7	320,0
3,8	272,0
3,9	260,0
4,0	246,0
4,1	218,0
4,2	231,0
4,3	203,0
4,4	181,0
4,5	169,0
4,6	166,0
4,7	165,0
4,8	143,0
4,9	152,0
5,0	138,0
5,1	139,0
5,2	127,0
5,3	122,0
5,4	136,0
5,5	134,0
5,6	137,0
5,7	137,0
5,8	129,0
5,9	154,0
6,0	130,0
6,1	132,0
6,2	162,0
6,3	142,0
6,4	137,0
6,5	145,0
6,6	145,0
6,7	155,0
6,8	152,0
6,9	163,0
7,0	157,0
7,1	144,0
7,2	145,0
7,3	144,0
7,4	142,0
7,5	149,0
7,6	141,0
7,7	146,0
7,8	145,0
7,9	161,0
8,0	173,0
8,1	219,0
8,2	260,0
8,3	262,0
8,4	263,0
8,5	236,0
8,6	261,0
8,7	248,0
8,8	252,0
8,9	254,0
9,0	225,0
9,1	246,0
9,2	231,0
9,3	240,0
9,4	201,0
9,5	237,0
9,6	229,0
9,7	190,0
9,8	212,0
9,9	212,0
10,0	217,0
10,1	206,0
10,2	211,0
10,3	200,0
10,4	191,0
10,5	181,0
10,6	172,0
10,7	183,0
10,8	171,0
10,9	182,0
11,0	179,0
11,1	175,0
11,2	173,0
11,3	176,0
11,4	162,0
11,5	163,0
11,6	144,0
11,7	154,0
11,8	173,0
11,9	180,0
12,0	275,0
12,1	813,0
12,2	1799,0
12,3	1686,0
12,4	455,0
12,5	279,0
12,6	202,0
12,7	185,0
12,8	192,0
12,9	185,0
13,0	219,0
13,1	270,0
13,2	361,0
13,3	526,0
13,4	1581,0
13,5	5370,0
13,6	6410,0
13,7	2628,0
13,8	575,0
13,9	236,0
14,0	133,0
14,1	136,0
14,2	129,0
14,3	131,0
14,4	116,0
14,5	109,0
14,6	111,0
14,7	99,0
14,8	95,0
14,9	102,0
15,0	99,0
15,1	92,0
15,2	97,0
15,3	84,0
15,4	100,0
15,5	82,0
15,6	77,0
15,7	84,0
15,8	87,0
15,9	81,0
16,0	76,0
16,1	72,0
16,2	79,0
16,3	87,0
16,4	94,0
16,5	90,0
16,6	79,0
16,7	84,0
16,8	88,0
16,9	93,0
17,0	78,0
17,1	84,0
17,2	80,0
17,3	79,0
17,4	73,0
17,5	63,0
17,6	80,0
17,7	73,0
17,8	66,0
17,9	56,0
18,0	63,0
18,1	78,0
18,2	66,0
18,3	74,0
18,4	63,0
18,5	74,0
18,6	67,0
18,7	62,0
18,8	65,0
18,9	67,0
19,0	65,0
19,1	63,0
19,2	68,0
19,3	64,0
19,4	61,0
19,5	55,0
19,6	54,0
19,7	64,0
19,8	51,0
19,9	57,0
20,0	56,0
20,1	59,0
20,2	58,0
20,3	48,0
20,4	64,0
20,5	57,0
20,6	52,0
20,7	66,0
20,8	49,0
20,9	45,0
21,0	56,0
21,1	50,0
21,2	48,0
21,3	51,0
21,4	49,0
21,5	49,0
21,6	47,0
21,7	47,0
21,8	44,0
21,9	49,0
22,0	42,0
22,1	46,0
22,2	42,0
22,3	54,0
22,4	42,0
22,5	46,0
22,6	54,0
22,7	43,0
22,8	53,0
22,9	52,0
23,0	51,0
23,1	53,0
23,2	52,0
23,3	45,0
23,4	39,0
23,5	42,0
23,6	41,0
23,7	47,0
23,8	46,0
23,9	44,0
24,0	42,0
24,1	44,0
24,2	42,0
24,3	49,0
24,4	50,0
24,5	46,0
24,6	58,0
24,7	67,0
24,8	73,0
24,9	158,0
25,0	467,0
25,1	478,0
25,2	149,0
25,3	86,0
25,4	74,0
25,5	77,0
25,6	66,0
25,7	59,0
25,8	58,0
25,9	54,0
26,0	54,0
26,1	52,0
26,2	60,0
26,3	50,0
26,4	56,0
26,5	50,0
26,6	55,0
26,7	51,0
26,8	56,0
26,9	54,0
27,0	59,0
27,1	54,0
27,2	58,0
27,3	67,0
27,4	68,0
27,5	92,0
27,6	110,0
27,7	167,0
27,8	601,0
27,9	1708,0
28,0	1816,0
28,1	695,0
28,2	180,0
28,3	98,0
28,4	82,0
28,5	56,0
28,6	53,0
28,7	52,0
28,8	47,0
28,9	33,0
29,0	39,0
29,1	45,0
29,2	45,0
29,3	41,0
29,4	38,0
29,5	57,0
29,6	48,0
29,7	42,0
29,8	42,0
29,9	34,0
30,0	41,0
30,1	32,0
30,2	41,0
30,3	37,0
30,4	46,0
30,5	40,0
30,6	32,0
30,7	42,0
30,8	41,0
30,9	37,0
31,0	39,0
31,1	41,0
31,2	39,0
31,3	42,0
31,4	47,0
31,5	33,0
31,6	37,0
31,7	42,0
31,8	36,0
31,9	34,0
32,0	34,0
32,1	45,0
32,2	39,0
32,3	34,0
32,4	35,0
32,5	37,0
32,6	38,0
32,7	40,0
32,8	36,0
32,9	35,0
33,0	40,0
33,1	30,0
33,2	40,0
33,3	36,0
33,4	31,0
33,5	34,0
33,6	40,0
33,7	37,0
33,8	34,0
33,9	36,0
34,0	43,0
34,1	34,0
34,2	39,0
34,3	32,0
34,4	31,0
34,5	28,0
34,6	42,0
34,7	35,0
34,8	41,0
34,9	36,0
35,0	37,0
35,1	39,0
35,2	41,0
35,3	30,0
35,4	40,0
35,5	32,0
35,6	32,0
35,7	39,0
35,8	34,0
35,9	34,0
36,0	37,0
36,1	39,0
36,2	36,0
36,3	34,0
36,4	34,0
36,5	40,0
36,6	26,0
36,7	32,0
36,8	38,0
36,9	37,0
37,0	31,0
37,1	30,0
37,2	35,0
37,3	26,0
37,4	33,0
37,5	34,0
37,6	31,0
37,7	32,0
37,8	33,0
37,9	36,0
38,0	39,0
38,1	34,0
38,2	31,0
38,3	29,0
38,4	35,0
38,5	34,0
38,6	27,0
38,7	34,0
38,8	34,0
38,9	37,0
39,0	43,0
39,1	41,0
39,2	60,0
39,3	129,0
39,4	159,0
39,5	73,0
39,6	42,0
39,7	41,0
39,8	46,0
39,9	37,0
40,0	42,0
40,1	33,0
40,2	28,0
40,3	36,0
40,4	33,0
40,5	40,0
40,6	38,0
40,7	42,0
40,8	34,0
40,9	34,0
41,0	36,0
41,1	32,0
41,2	32,0
41,3	36,0
41,4	37,0
41,5	30,0
41,6	31,0
41,7	34,0
41,8	32,0
41,9	42,0
42,0	38,0
42,1	30,0
42,2	40,0
42,3	30,0
42,4	33,0
42,5	33,0
42,6	37,0
42,7	30,0
42,8	30,0
42,9	35,0
43,0	38,0
43,1	34,0
43,2	31,0
43,3	34,0
43,4	30,0
43,5	40,0
43,6	29,0
43,7	33,0
43,8	36,0
43,9	43,0
44,0	34,0
44,1	43,0
44,2	48,0
44,3	65,0
44,4	105,0
44,5	376,0
44,6	498,0
44,7	293,0
44,8	134,0
44,9	69,0
45,0	53,0
45,1	49,0
45,2	41,0
45,3	40,0
45,4	35,0
45,5	40,0
45,6	36,0
45,7	36,0
45,8	26,0
45,9	40,0
46,0	31,0
46,1	41,0
46,2	37,0
46,3	29,0
46,4	36,0
46,5	37,0
46,6	37,0
46,7	42,0
46,8	29,0
46,9	32,0
47,0	36,0
47,1	33,0
47,2	25,0
47,3	31,0
47,4	32,0
47,5	31,0
47,6	31,0
47,7	28,0
47,8	38,0
47,9	35,0
48,0	37,0
48,1	32,0
48,2	31,0
48,3	29,0
48,4	31,0
48,5	31,0
48,6	36,0
48,7	29,0
48,8	33,0
48,9	27,0
49,0	29,0
49,1	36,0
49,2	26,0
49,3	37,0
49,4	30,0
49,5	26,0
49,6	28,0
49,7	35,0
49,8	32,0
